row_no,selected,plant_code,plant_name,material_code,material_name,source_category,contract_type,interface_type,effective_date,end_date,main_contract_no,transporter_code,transporter_name,source_code,source_name,source_plant_code,source_plant_name,quantity,distance_km,transport_vehicle,rawmat_price,transport_price,loading_price,crushing_price,gap,rebate,fuel_price_period,fuel_base_price,fuel_step_type,fuel_step,fuel_step_rate,fuel_step_count,fuel_adjust_price,transport_price_after_adjust,crushing_step_type,crushing_step,crushing_step_rate,crushing_adjust_price,crushing_price_after_adjust,due_payment,early_payment_price,total_transportation_price,total_price,market_price
1,,13AL,คาราบาว,C12,SCG Hybrid Cement,สำรอง,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1311.0,โรงงานเขาวง,0,138.0,,1338.39,202.0,0.0,0.0,0,0,29.01,30.01,อัตรามาตรฐาน,0,0.0,-1,0.0,202.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,202.0,1540.39,1694
2,,13AL,คาราบาว,C12,SCG Hybrid Cement,หลัก,สัญญาซีเมนต์พร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),1322.0,ศูนย์จ่ายพระประแดง,0,17.4,,1562.58,135.0,0.0,0.0,92,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,135.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,135.0,1697.58,1694
3,,13AL,คาราบาว,D29,SIKA-D2323,หลัก,สัญญาน้ำยาพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,1092469,บจ.ซิก้า (ประเทศไทย),1092469,บจ.ซิก้า (ประเทศไทย),,,0,0.0,,7.6,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,0.0,7.6,0
4,,13AL,คาราบาว,F47,MIGHTY 150HB-9,หลัก,สัญญาน้ำยาพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),1040818,บจ.คาโอ อินดัสเตรียล (ประเทศไทย),,,0,0.0,,17.25,0.0,0.0,0.0,0,0,30.05,0.0,อัตรามาตรฐาน,0,0.0,0,0.0,0.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,0.0,17.25,0
5,,13AL,คาราบาว,MF1,Fly Ash (MAEMOH),หลัก,สัญญาสารผสมเพิ่มพร้อมขนส่ง,S : แยกค่าเนื้อ ค่าขนส่ง,2026-02-01,2026-02-28,,0901,บจ.เอสซีจี โลจิสติกส์ แมเนจเม้นท์,0131,บจ.ปูนซิเมนต์ไทย (ท่าหลวง),85239.0,Hub PFA พระประแดง,0,17.4,,1404.0,135.0,0.0,0.0,0,0,29.01,31.01,อัตรามาตรฐาน,0,0.0,-2,0.0,135.0,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,0,,135.0,1539.0,0
6,,13AL,คาราบาว,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1113693,บจ.มหาสมุทรเหมืองแร่,V000000165,โรงโม่หินสินสมุทร,,,30,150.0,รถเทรลเลอร์,160.0,150.0,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.87,-4,-7.48,142.52,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,142.52,302.52,0
7,,13AL,คาราบาว,R01,"หิน 3/4""-#4",หลัก,สัญญาซื้อขายหินพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1113693,บจ.มหาสมุทรเหมืองแร่,V000000165,โรงโม่หินสินสมุทร,,,30,150.0,รถเทรลเลอร์,160.0,150.0,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.87,-4,-7.48,142.52,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,142.52,302.52,0
8,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1093517,บจ.เพชรวิเศษ 1974,V000000263,บ่อเพชรทรายทอง (มิสเตอร์ คอนกรีต),,,30,88.0,รถเทรลเลอร์,105.0,101.2,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,96.4,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,96.4,201.4,0
9,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,หลัก,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-15,2026-02-28,,1093517,บจ.เพชรวิเศษ 1974,V000000263,บ่อเพชรทรายทอง (มิสเตอร์ คอนกรีต),,,30,88.0,รถเทรลเลอร์,105.0,101.2,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,96.4,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,96.4,201.4,0
10,,13AL,คาราบาว,S01,ทรายหยาบ-ปกติ,สำรอง,สัญญาซื้อขายทรายพร้อมขนส่ง,B : gr ค่าวัตถุดิบและค่าขนส่ง,2026-02-01,2026-02-14,,1093517,บจ.เพชรวิเศษ 1974,V000000797,บ่อทราย C.N ทรายทอง,,,30,96.0,รถเทรลเลอร์,105.0,110.4,0.0,0.0,20,0,30.05,32.05,อัตรามาตรฐาน,0,1.2,-4,-4.8,105.6,อัตรามาตรฐาน,0.0,0.0,0.0,0.0,1,0.0,105.6,210.6,0
