"DIVISION_NO","DIVISION_NAME","DEPARTMENT_NO","DEPARTMENT_NAME","SECT_NO","SECT_NAME","PLANT_NO","PLANT_NAME","PLANT_TYPE","PROVINCE_NAME"
"90000140",RMC Metro,"00014300",Metro 1,"00014264",Prod.พระราม 4,"13AL",คาราบาว,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014302",Metro 3,"00014432",Prod.สุวรรณภูมิ,"13AX",บางปลา 3,CPAC,สมุทรปราการ
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"13B1",บางนา กม.36/2,CPAC,ฉะเชิงเทรา
"90000140",RMC Metro,"00014302",Metro 3,"00014432",Prod.สุวรรณภูมิ,"13B3",เปรง,CPAC,ฉะเชิงเทรา
"90000140",RMC Metro,"00014302",Metro 3,"00014431",Prod.บางนา,"13B6",แพรกษา 2,CPAC,สมุทรปราการ
"90000140",RMC Metro,"00014301",Metro 2,"00014404",Prod.รามอินทรา,"13BJ",สายไหม 2,CPAC,ปทุมธานี
"90000140",RMC Metro,"00014300",Metro 1,"00014271",Prod.พระราม 9,"13BL",ทับช้าง,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014300",Metro 1,"00014264",Prod.พระราม 4,"13FW",พระราม 4/5,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014300",Metro 1,"00014264",Prod.พระราม 4,"13FY",บ่อนไก่ 3,CPAC,กรุงเทพมหานคร
"90000140",RMC Metro,"00014302",Metro 3,"00014431",Prod.บางนา,"13IB",บางปู ( TG),X,สมุทรปราการ
"90000140",RMC Metro,"00014302",Metro 3,"00014431",Prod.บางนา,"13JF",Forestias 5 (TG),X,สมุทรปราการ
"90000140",RMC Metro,"00014302",Metro 3,"00014432",Prod.สุวรรณภูมิ,"13JJ",บางนา กม.35(TG),X,สมุทรปราการ
"90000140",RMC Metro,"00014300",Metro 1,"00014388",Prod.บางซื่อ,"13JM",TG เสมียนนารี,X,กรุงเทพมหานคร
"90000140",RMC Metro,"00014301",Metro 2,"00014404",Prod.รามอินทรา,"13JO",เทพรักษ์ ( TG),X,กรุงเทพมหานคร
"90000140",RMC Metro,"00014301",Metro 2,"00014404",Prod.รามอินทรา,"13JQ",บางเขน (TG),X,กรุงเทพมหานคร
"90000140",RMC Metro,"00014300",Metro 1,"00014264",Prod.พระราม 4,"13JX",พระราม 3/3 ( TG),X,กรุงเทพมหานคร
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"13L4",อรัญประเทศ ท่าข้าม,CPAC,สระแก้ว
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13L6",บ้านฉาง,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13LJ",แกลง,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13LM",แหลมแม่พิมพ์,CPAC,ระยอง
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"13LN",กบินทร์บุรี 2,CPAC,ปราจีนบุรี
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"13LO",เกตเวย์ 4,CPAC,ฉะเชิงเทรา
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"13LP",บางนา กม.36/4,CPAC,ฉะเชิงเทรา
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"13LQ",อมตะซิตี้ 3,CPAC,ชลบุรี
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"13LR",นิคมเครือฯ บปซ.3,CPAC,ระยอง
"90000142",RMC East,"00023135",East 3,"00020171",ผลิตบ่อวิน,"13LS",แม่น้ำคู้,CPAC,ระยอง
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"13LV",Qmix-X พานทอง,X,ชลบุรี
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"13LW",ดาวเรือง X,X,สระบุรี
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"13LX",High Speed 4-6 Qmix-X,X,สระบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"13M2",เนินโมก,CPAC,ชลบุรี
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"13NW",ประจันตคาม,CPAC,ปราจีนบุรี
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13O2",บูรพา ท่าใหม่(FC Type X),X,จันทบุรี
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13O3",บูรพา ท่าหลวง (FC Type X),X,จันทบุรี
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"13O4",วี.เอส.คอนกรีต(Type X),X,ปราจีนบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"13O5",ซิโนมา Type X,X,ชลบุรี
"90000142",RMC East,"00020164",East 2,"00020178",ผลิตฉะเชิงเทรา,"13O6",แปลงยาว Type X,X,ฉะเชิงเทรา
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"13O7",วี.เอส.คอนกรีต2 (Type X),X,ปราจีนบุรี
"90000142",RMC East,"00020164",East 2,"00023190",ผลิตพานทอง,"13OR",กัญญาวีร์ - X,X,ชลบุรี
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13QQ",QMix-X มาบตาพุด1 (TG),X,ระยอง
"90000142",RMC East,"00023135",East 3,"00020172",ผลิตระยอง,"13QR",QMix-X มาบตาพุด2 (TG),X,ระยอง
"90000142",RMC East,"00020163",East 1,"00020177",ผลิตปราจีนบุรี,"13QX",ศาลาลำดวน,CPAC,สระแก้ว
"90000142",RMC East,"00020164",East 2,"00020170",ผลิตศรีราชา,"13QY",Qmix-X บางละมุง,X,ชลบุรี
"90000142",RMC East,"00020163",East 1,"00020176",ผลิตสระบุรี,"13QZ",สระบุรี HSR,CPAC,สระบุรี
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"13T2",โรจนะ 2,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"13UE",บางปะอิน 2,CPAC,พระนครศรีอยุธยา
"90000143",RMC West,"00014548",West 2,"00014615",Prod.เพชรบุรี,"13UI",บายพาสวังมะนาว,CPAC,เพชรบุรี
"90000143",RMC West,"00014547",West 1,"00014670",Prod.อยุธยา,"13YQ",CO1 โรจนะ  (ปิดชั่วคราว),N,พระนครศรีอยุธยา
"90000145",RMC Northeast,"00014248",Northeast 3,"00014242",Prod.สกลนคร,"14A2",บึงกาฬ,CPAC,บึงกาฬ
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"14AI",ปากช่อง 1-รถไฟความเร็วสูง,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"14AJ",ปากช่อง 2-รถไฟความเร็วสูง,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014252",Prod.โคราช-ชัยภูมิ,"14AR",รถไฟความเร็วสูงโคราช-บ้านใหม่ 1,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014252",Prod.โคราช-ชัยภูมิ,"14AS",รถไฟความเร็วสูงโคราช-บ้านใหม่ 2,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14AY",รัตนวาปี,CPAC,หนองคาย
"90000145",RMC Northeast,"00014248",Northeast 3,"00014242",Prod.สกลนคร,"14AZ",นครพนม 4,CPAC,นครพนม
"90000145",RMC Northeast,"00014243",Northeast 2,"00014283",Prod.ร้อยเอ็ด,"14B2",บรบือ,CPAC,มหาสารคาม
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"14B7",ปากช่อง 3 -รถไฟความเร็วสูง,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"14B9",รถไฟความเร็วสูง-โคราช 2,CPAC,นครราชสีมา
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14EI",FC น้ำพองมิตรภาพ (Type x2),X,ขอนแก่น
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14H3",FC วังสะพุง (Type X2),X,เลย
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14H4",FC อุดร-สามพร้าว (Type N),N,อุดรธานี
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14H5",FC อุดร-มิตรภาพ คูย่งฮวด Type N,N,อุดรธานี
"90000145",RMC Northeast,"00014248",Northeast 3,"00014242",Prod.สกลนคร,"14H7",FC นครพนม 5 (Type N),N,นครพนม
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14H8",FC ร้อยเอ็ด3 Type N,N,ร้อยเอ็ด
"90000145",RMC Northeast,"00014243",Northeast 2,"00014246",Prod.อุดรธานี,"14IU",FC พล (Type X2),X,ขอนแก่น
"90000145",RMC Northeast,"00014222",Northeast 1,"00014252",Prod.โคราช-ชัยภูมิ,"14J2",โคราชบ้านโพธิ์ (OEM/X2),X,นครราชสีมา
"90000145",RMC Northeast,"00014222",Northeast 1,"00014225",Prod.โคราช-เขาใหญ่,"14ฺB7",ปากช่อง 3 -รถไฟความเร็วสูง,CPAC,นครราชสีมา
"90000141",RMC South,"90000565",South 2,"00009976",Prod.สุราษฏร์ธานี,"15AQ",FC กาญจนดิษฐ์ (Type X),X,สุราษฎร์ธานี
